"rid", "binaryID"
35,1
36,10
423,11
37,100
421,101
424,110
38,1000
420,1010
422,1100
39,10000
713,10001
40,100000
714,100010
41,1000000
324,1000001
43,10000000
60,10000001
325,10000010
44,100000000
61,100000010
847,100000011
378,100000100
413,100000101
42,1000000000
436,1000000001
62,1000000100
718,1000000101
848,1000000110
379,1000001000
408,1000001001
45,10000000000
443,10000000001
63,10000001000
304,10000001001
720,10000001010
416,10000001100
729,10000001101
380,10000010000
407,10000010001
46,100000000000
438,100000000001
1,100000000010
64,100000010000
856,100000010001
303,100000010010
719,100000010100
381,100000100000
406,100000100001
47,1000000000000
738,1000000000001
445,1000000000100
65,1000000100000
351,1000000100010
305,1000000100100
788,1000000100101
382,1000001000000
404,1000001000010
405,1000001000011
48,10000000000000
444,10000000000001
446,10000000000010
739,10000000000011
66,10000001000000
350,10000001000100
310,10000001001000
318,10000001001001
787,10000001001010
49,100000000000000
448,100000000000001
67,100000010000000
311,100000010010000
425,100000010010001
319,100000010010010
430,100000010010011
415,100000010010100
419,100000010010101
50,1000000000000000
740,1000000000000001
447,1000000000000010
68,1000000100000000
278,1000000100000001
312,1000000100100000
411,1000000100100001
306,1000000100100100
320,1000000100100101
435,1000000100100110
437,1000000100100111
409,1000000100101000
410,1000000100101001
51,10000000000000000
454,10000000000000001
741,10000000000000010
742,10000000000000011
69,10000001000000000
279,10000001000000010
313,10000001001000000
412,10000001001000010
418,10000001001000011
307,10000001001001000
434,10000001001001001
321,10000001001001010
439,10000001001001011
52,100000000000000000
466,100000000000000001
2,100000000000000100
468,100000000000000110
746,100000000000000111
71,100000010000000000
280,100000010000000100
314,100000010010000000
815,100000010010000001
308,100000010010010000
426,100000010010010001
433,100000010010010010
322,100000010010010100
440,100000010010010101
53,1000000000000000000
471,1000000000000000001
743,1000000000000001000
467,1000000000000001100
747,1000000000000001110
70,1000000100000000000
281,1000000100000001000
795,1000000100000001001
315,1000000100100000000
414,1000000100100000001
309,1000000100100100000
427,1000000100100100001
429,1000000100100100010
432,1000000100100100011
323,1000000100100101000
449,1000000100100101001
441,1000000100100101010
442,1000000100100101011
54,10000000000000000000
475,10000000000000000001
463,10000000000000010000
744,10000000000000010001
72,10000001000000000000
282,10000001000000010000
295,10000001000000010001
450,10000001000000010010
796,10000001000000010011
0,10000001001000000000
428,10000001001001000100
431,10000001001001000110
55,100000000000000000000
750,100000000000000000001
474,100000000000000000010
462,100000000000000100000
745,100000000000000100010
73,100000010000000000000
283,100000010000000100000
799,100000010000000100001
296,100000010000000100010
330,100000010000000100011
451,100000010000000100110
797,100000010000000100111
316,100000010010000000000
56,1000000000000000000000
363,1000000000000000000001
486,1000000000000000000010
749,1000000000000000000011
74,1000000100000000000000
284,1000000100000001000000
461,1000000100000001000001
473,1000000100000001000010
800,1000000100000001000011
297,1000000100000001000100
816,1000000100000001000101
798,1000000100000001001110
317,1000000100100000000000
417,1000000100100000000001
57,10000000000000000000000
490,10000000000000000000001
6,10000000000000000000100
4,10000000000000000000110
75,10000001000000000000000
285,10000001000000010000000
288,10000001000000010000001
477,10000001000000010000100
480,10000001000000010000101
298,10000001000000010001000
818,10000001000000010001001
457,10000001000000010001010
817,10000001000000010001011
58,100000000000000000000000
513,100000000000000000000001
748,100000000000000000001100
76,100000010000000000000000
286,100000010000000100000000
479,100000010000000100000001
289,100000010000000100000010
472,100000010000000100000011
299,100000010000000100010000
819,100000010000000100010001
59,1000000000000000000000000
493,1000000000000000000000001
77,1000000100000000000000000
287,1000000100000001000000000
482,1000000100000001000000001
290,1000000100000001000000100
460,1000000100000001000000101
300,1000000100000001000100000
821,1000000100000001000100001
820,1000000100000001000100010
502,10000000000000000000000010
507,10000000000000000000000011
78,10000001000000000000000000
481,10000001000000010000000010
291,10000001000000010000001000
470,10000001000000010000001001
301,10000001000000010001000000
396,10000001000000010001000001
80,100000010000000000000000000
292,100000010000000100000010000
465,100000010000000100000010001
302,100000010000000100010000000
79,1000000100000000000000000000
293,1000000100000001000000100000
484,1000000100000001000000100001
81,10000001000000000000000000000
452,10000001000000000000000000001
294,10000001000000010000001000000
483,10000001000000010000001000001
83,100000010000000000000000000000
455,100000010000000000000000000001
453,100000010000000000000000000010
82,1000000100000000000000000000000
456,1000000100000000000000000000010
458,1000000100000000000000000000100
459,1000000100000000000000000000101
84,10000001000000000000000000000000
464,10000001000000000000000000000001
469,10000001000000000000000000000100
478,10000001000000000000000000000101
87,100000010000000000000000000000000
476,100000010000000000000000000000001
88,1000000100000000000000000000000000
3,1000000100000000000000000000000010
86,10000001000000000000000000000000000
85,100000010000000000000000000000000000
89,1000000100000000000000000000000000000
487,1000000100000000000000000000000000001
90,10000001000000000000000000000000000000
488,10000001000000000000000000000000000010
91,100000010000000000000000000000000000000
383,100000010000000000000000000000000000001
485,100000010000000000000000000000000000100
852,100000010000000000000000000000000000101
92,1000000100000000000000000000000000000000
505,1000000100000000000000000000000000000001
384,1000000100000000000000000000000000000010
722,1000000100000000000000000000000000000011
489,1000000100000000000000000000000000001000
732,1000000100000000000000000000000000001001
93,10000001000000000000000000000000000000000
721,10000001000000000000000000000000000000001
385,10000001000000000000000000000000000000100
518,10000001000000000000000000000000000000101
510,10000001000000000000000000000000000000110
723,10000001000000000000000000000000000000111
494,10000001000000000000000000000000000010000
733,10000001000000000000000000000000000010001
94,100000010000000000000000000000000000000000
514,100000010000000000000000000000000000000001
386,100000010000000000000000000000000000001000
727,100000010000000000000000000000000000001001
533,100000010000000000000000000000000000001110
724,100000010000000000000000000000000000001111
498,100000010000000000000000000000000000100000
734,100000010000000000000000000000000000100001
95,1000000100000000000000000000000000000000000
112,1000000100000000000000000000000000000000001
517,1000000100000000000000000000000000000011110
726,1000000100000000000000000000000000000011111
497,1000000100000000000000000000000000001000000
735,1000000100000000000000000000000000001000001
96,10000001000000000000000000000000000000000000
523,10000001000000000000000000000000000000000001
113,10000001000000000000000000000000000000000010
267,10000001000000000000000000000000000000000011
535,10000001000000000000000000000000000000111110
728,10000001000000000000000000000000000000111111
496,10000001000000000000000000000000000010000000
499,10000001000000000000000000000000000010000001
506,10000001000000000000000000000000000010000010
736,10000001000000000000000000000000000010000011
97,100000010000000000000000000000000000000000000
524,100000010000000000000000000000000000000000001
114,100000010000000000000000000000000000000000100
725,100000010000000000000000000000000000000000101
268,100000010000000000000000000000000000000000110
516,100000010000000000000000000000000000000000111
16,100000010000000000000000000000000000001111110
491,100000010000000000000000000000000000100000010
492,100000010000000000000000000000000000100000011
501,100000010000000000000000000000000000100000110
737,100000010000000000000000000000000000100000111
98,1000000100000000000000000000000000000000000000
528,1000000100000000000000000000000000000000000001
115,1000000100000000000000000000000000000000001000
730,1000000100000000000000000000000000000000001001
269,1000000100000000000000000000000000000000001100
511,1000000100000000000000000000000000000000001101
99,10000001000000000000000000000000000000000000000
527,10000001000000000000000000000000000000000000001
116,10000001000000000000000000000000000000000010000
532,10000001000000000000000000000000000000000010001
270,10000001000000000000000000000000000000000011000
387,10000001000000000000000000000000000000000011001
100,100000010000000000000000000000000000000000000000
537,100000010000000000000000000000000000000000000001
117,100000010000000000000000000000000000000000100000
731,100000010000000000000000000000000000000000100001
271,100000010000000000000000000000000000000000110000
504,100000010000000000000000000000000000000000110001
388,100000010000000000000000000000000000000000110010
520,100000010000000000000000000000000000000000110011
101,1000000100000000000000000000000000000000000000000
540,1000000100000000000000000000000000000000000000001
118,1000000100000000000000000000000000000000001000000
272,1000000100000000000000000000000000000000001100000
508,1000000100000000000000000000000000000000001100001
389,1000000100000000000000000000000000000000001100100
519,1000000100000000000000000000000000000000001100101
11,1000000100000000000000000000000000000000001100110
102,10000001000000000000000000000000000000000000000000
542,10000001000000000000000000000000000000000000000001
119,10000001000000000000000000000000000000000010000000
343,10000001000000000000000000000000000000000010000001
273,10000001000000000000000000000000000000000011000000
503,10000001000000000000000000000000000000000011000001
9,10000001000000000000000000000000000000000011000010
10,10000001000000000000000000000000000000000011001010
103,100000010000000000000000000000000000000000000000000
805,100000010000000000000000000000000000000000000000001
541,100000010000000000000000000000000000000000000000010
545,100000010000000000000000000000000000000000000000011
120,100000010000000000000000000000000000000000100000000
849,100000010000000000000000000000000000000000100000001
344,100000010000000000000000000000000000000000100000010
539,100000010000000000000000000000000000000000100000011
274,100000010000000000000000000000000000000000110000000
500,100000010000000000000000000000000000000000110000001
7,100000010000000000000000000000000000000000110000010
104,1000000100000000000000000000000000000000000000000000
397,1000000100000000000000000000000000000000000000000001
887,1000000100000000000000000000000000000000001000000000
888,1000000100000000000000000000000000000000001000000001
30,1000000100000000000000000000000000000000001000000100
31,1000000100000000000000000000000000000000001000000110
275,1000000100000000000000000000000000000000001100000000
509,1000000100000000000000000000000000000000001100000001
495,1000000100000000000000000000000000000000001100000100
105,10000001000000000000000000000000000000000000000000000
806,10000001000000000000000000000000000000000000000000001
398,10000001000000000000000000000000000000000000000000010
846,10000001000000000000000000000000000000000000000000011
886,10000001000000000000000000000000000000000010000000000
121,10000001000000000000000000000000000000000010000000010
751,10000001000000000000000000000000000000000010000000011
345,10000001000000000000000000000000000000000010000001000
715,10000001000000000000000000000000000000000010000001100
276,10000001000000000000000000000000000000000011000000000
341,10000001000000000000000000000000000000000011000000001
5,10000001000000000000000000000000000000000011000001000
106,100000010000000000000000000000000000000000000000000000
557,100000010000000000000000000000000000000000000000000001
399,100000010000000000000000000000000000000000000000000100
845,100000010000000000000000000000000000000000000000000101
552,100000010000000000000000000000000000000000000000000110
844,100000010000000000000000000000000000000000000000000111
17,100000010000000000000000000000000000000000100000000000
122,100000010000000000000000000000000000000000100000000100
331,100000010000000000000000000000000000000000100000000101
543,100000010000000000000000000000000000000000100000000110
752,100000010000000000000000000000000000000000100000000111
13,100000010000000000000000000000000000000000100000010000
277,100000010000000000000000000000000000000000110000000000
515,100000010000000000000000000000000000000000110000000001
342,100000010000000000000000000000000000000000110000000010
512,100000010000000000000000000000000000000000110000000011
107,1000000100000000000000000000000000000000000000000000000
564,1000000100000000000000000000000000000000000000000000001
400,1000000100000000000000000000000000000000000000000001000
565,1000000100000000000000000000000000000000000000000001001
858,1000000100000000000000000000000000000000001000000000000
123,1000000100000000000000000000000000000000001000000001000
242,1000000100000000000000000000000000000000001000000001001
346,1000000100000000000000000000000000000000001000000100000
108,10000001000000000000000000000000000000000000000000000000
570,10000001000000000000000000000000000000000000000000000001
401,10000001000000000000000000000000000000000000000000010000
571,10000001000000000000000000000000000000000000000000010001
32,10000001000000000000000000000000000000000010000000000000
124,10000001000000000000000000000000000000000010000000010000
563,10000001000000000000000000000000000000000010000000010001
243,10000001000000000000000000000000000000000010000000010010
