model,tailup,taildown,euclid,AIC,AICc,pseudo_r2,tailup_de,tailup_range,taildown_de,taildown_range,euclid_de,euclid_range,nugget,tailup_prop,taildown_prop,euclid_prop,nugget_prop,total_spatial_de,rank_aic,rank_pseudo_r2,rank_total_spatial_de,range_flag
epa_none_jbessel,epa,none,jbessel,-140.6976253846302,-139.78853447553928,0.635413131840268,0.0027312751716533656,71482.91380684663,NA,NA,0.0017323522146356874,653699.5219192293,2.097980887207423e-4,0.2130743426294709,0,0.13514559542265456,0.0163669301076065,0.004463627386289053,1,7,27,FALSE
epa_mariah_none,epa,mariah,none,-140.69673014874368,-139.78763923965278,0.6368112931836256,0.002652569145362071,67134.05165862764,0.0017723959029260097,0.2026599661854787,NA,NA,1.7286312953176846e-4,0.20953004775003858,0.14000396514503236,0,0.01365469392130345,0.0044249650482880805,2,4,28,FALSE
linear_none_jbessel,linear,none,jbessel,-140.55013044884547,-139.64103953975456,0.6405684169210233,0.002646855788820935,53382.90257225544,NA,NA,0.001729919114927349,60682.32052305111,1.9804694024146073e-4,0.20795641858874428,0,0.1359151432079927,0.015560021282239753,0.004376774903748284,3,2,29,FALSE
linear_mariah_none,linear,mariah,none,-140.30770971276397,-139.39861880367306,0.6416056799258578,0.0024412807748747044,58791.991777793155,0.0018035441193569347,92.30686357266895,NA,NA,1.7799808597180196e-4,0.19782414248490882,0.14614647054016028,0,0.014423707049073052,0.00424482489423164,4,1,30,FALSE
epa_none_none,epa,none,none,-138.53215970781613,-138.17921853134555,0.6387346976402877,0.002773011203700877,64660.59149899547,NA,NA,NA,NA,0.0018178194651085617,0.2182160056039851,0,0,0.14304929675572722,0.002773011203700877,5,3,48,FALSE
linear_none_none,linear,none,none,-138.40071476366685,-138.04777358719628,0.635488306126748,0.0028938377390284754,53361.20326497103,NA,NA,NA,NA,0.0017902721733826126,0.22519490698813396,0,0,0.139316786885118,0.0028938377390284754,6,6,46,FALSE
mariah_none_jbessel,mariah,none,jbessel,-137.78727959898131,-136.8781886898904,0.5995765554163413,0.003254929572066069,2307895.127101003,NA,NA,0.0018165304481643685,38.37351873955447,1.9960066989061108e-4,0.24726524465306024,0,0.13799525788202782,0.015162942048570648,0.005071460020230438,7,26,16,TRUE
epa_mariah_gaussian,epa,mariah,gaussian,-137.3808063088595,-135.6308063088595,0.4060819054285091,0.0025019799751869382,56750.53878782605,0.0016679082310543324,14.173631959078035,1.3670566230113337,754985.213110918,2.0494177221186933e-4,0.0010835183751105922,7.223116229019957e-4,0.592023511594549,8.875297892929717e-5,1.371226511217575,8,40,8,FALSE
linear_mariah_gaussian,linear,mariah,gaussian,-137.17679950022577,-135.42679950022577,0.41242016817543226,0.0024646067926916942,47028.51834302528,0.0017082266755459354,2.639388811726621,2.0533837118133174,991047.1662767738,2.0407068923414877e-4,7.037520465325254e-4,4.8777274428590264e-4,0.5863300360082813,5.827102546811835e-5,2.057556545281555,9,39,7,FALSE
epa_mariah_cubic,epa,mariah,cubic,-136.8636253408301,-135.1136253408301,0.4046270659049731,0.002514474093594855,59084.29522266329,0.001496373246245212,44.49437944682693,1.1116221633088794,1875193.4561220664,3.1823428378219504e-4,0.0013415010965824505,7.983324846527665e-4,0.5930633188319078,1.6978168188386657e-4,1.1156330106487196,10,45,9,TRUE
epa_mariah_jbessel,epa,mariah,jbessel,-136.72691408381755,-134.97691408381755,0.6335133341157685,0.00267622861723498,66954.73214038108,1.205084343463396e-4,28632870.341200814,0.0017344378260076728,58727.21300970952,1.9862253245797335e-4,0.20736662018356422,0.0093375530674326,0.13439229652560003,0.015390196107634639,0.004531174877588993,11,8,25,TRUE
epa_exponential_jbessel,epa,exponential,jbessel,-136.68850257163658,-134.93850257163658,0.6157955445762202,0.0026721419605121237,64795.232732652796,3.75464297762409e-4,395039.4192655891,0.0017191276493084228,144732.0051869974,1.9284106131604905e-4,0.20700339307130217,0.02908617310101918,0.1331760294880937,0.014938859763364759,0.004766733907582955,12,13,20,FALSE
