covariate,elastic_net,lasso,ridge
base_flow_index,100,100,100
channel_slope,100,100,100
elevation_m,100,100,100
high_cascades_upstream_pct,100,100,100
shrub_upstream_pct,100,100,100
upstream_area_km2,100,100,100
road_density_upstream,100,80,100
wet_season_precip_mm,80,60,100
wetlands_reach_pct,80,40,100
developed_upstream_pct,60,40,100
veg_cover_reach_pct,60,20,100
burned_buffer_pct,40,40,100
road_density_buffer,40,40,100
veg_cover_upstream_pct,40,40,100
agricultural_reach_pct,40,0,100
annual_precip_mm,20,20,100
high_cascades_reach_pct,20,20,100
lakes_buffer_pct,20,20,100
road_density_reach,20,20,100
agricultural_buffer_pct,20,0,100
agricultural_upstream_pct,20,0,100
burned_upstream_pct,20,0,100
developed_reach_pct,20,0,100
lakes_reach_pct,20,0,100
summer_max_air_temp_c,20,0,100
wetlands_buffer_pct,0,40,100
wetlands_upstream_pct,0,20,100
burned_reach_pct,0,0,100
developed_buffer_pct,0,0,100
forest_upstream_pct,0,0,100
high_cascades_buffer_pct,0,0,100
lakes_upstream_pct,0,0,100
summer_mean_air_temp_c,0,0,100
summer_mean_max_air_temp_c,0,0,100
summer_precip_mm,0,0,100
veg_cover_buffer_pct,0,0,100
veg_height_buffer_m,0,0,100
veg_height_reach_m,0,0,100
veg_height_upstream_m,0,0,100
