covariate,importance,pvalue
base_flow_index,0.005913358633219721,0.001996007984031936
high_cascades_upstream_pct,0.004386574036490684,0.001996007984031936
veg_height_upstream_m,0.0029067093321332674,0.001996007984031936
elevation_m,0.002408734665035822,0.001996007984031936
developed_upstream_pct,0.0018815423181518826,0.001996007984031936
agricultural_upstream_pct,0.001445208432017693,0.001996007984031936
lakes_upstream_pct,0.0011864205842716522,0.011976047904191617
upstream_area_km2,6.659542332290044e-4,0.07584830339321358
veg_cover_upstream_pct,5.722597686224154e-4,0.07784431137724551
summer_precip_mm,5.326181379982412e-4,0.08982035928143713
veg_height_reach_m,5.067436038750761e-4,0.08183632734530938
wet_season_precip_mm,4.4760798423354426e-4,0.07984031936127745
shrub_upstream_pct,4.0128449326365666e-4,0.13373253493013973
road_density_upstream,3.813793879614233e-4,0.21357285429141717
channel_slope,3.72543671596974e-4,0.16367265469061876
burned_upstream_pct,3.1335892723402867e-4,0.17564870259481039
wetlands_upstream_pct,3.0827940416876894e-4,0.2275449101796407
forest_upstream_pct,2.1761890732091644e-4,0.2694610778443114
annual_precip_mm,2.120428726468884e-4,0.29740518962075846
veg_cover_reach_pct,2.1001548328978048e-4,0.3592814371257485
agricultural_reach_pct,1.9516104842349892e-4,0.18163672654690619
veg_height_buffer_m,1.3228983351885464e-4,0.40718562874251496
summer_mean_air_temp_c,1.217305909925856e-4,0.45708582834331335
developed_reach_pct,1.12026307854807e-4,0.2834331337325349
summer_max_air_temp_c,1.0937372604099799e-4,0.3852295409181637
veg_cover_buffer_pct,1.0705450726741561e-4,0.43912175648702595
summer_mean_max_air_temp_c,7.843953143985505e-5,0.49101796407185627
high_cascades_reach_pct,7.407458495099023e-5,0.18962075848303392
road_density_reach,4.636164489194794e-5,0.48502994011976047
wetlands_buffer_pct,3.4187888443428516e-5,0.49700598802395207
burned_reach_pct,2.9705340860707584e-5,0.47105788423153694
burned_buffer_pct,2.5538797500040122e-5,0.4231536926147705
lakes_buffer_pct,9.460099674421241e-6,0.40119760479041916
solar_exposure,7.761767871818648e-6,0.49700598802395207
lakes_reach_pct,5.566020109634417e-6,0.42714570858283435
high_cascades_buffer_pct,-4.6504277181308454e-7,0.5209580838323353
agricultural_buffer_pct,-1.272882882359494e-5,0.6307385229540918
developed_buffer_pct,-1.753141869284991e-5,0.6347305389221557
road_density_buffer,-2.4031260940692855e-5,0.500998003992016
wetlands_reach_pct,-4.34666516621679e-5,0.6227544910179641
