covariate,importance
base_flow_index,0.005913358633219721
high_cascades_upstream_pct,0.004386574036490684
veg_height_upstream_m,0.0029067093321332674
elevation_m,0.002408734665035822
developed_upstream_pct,0.0018815423181518826
agricultural_upstream_pct,0.001445208432017693
lakes_upstream_pct,0.0011864205842716522
upstream_area_km2,6.659542332290044e-4
veg_cover_upstream_pct,5.722597686224154e-4
summer_precip_mm,5.326181379982412e-4
veg_height_reach_m,5.067436038750761e-4
wet_season_precip_mm,4.4760798423354426e-4
shrub_upstream_pct,4.0128449326365666e-4
road_density_upstream,3.813793879614233e-4
channel_slope,3.72543671596974e-4
burned_upstream_pct,3.1335892723402867e-4
wetlands_upstream_pct,3.0827940416876894e-4
forest_upstream_pct,2.1761890732091644e-4
annual_precip_mm,2.120428726468884e-4
veg_cover_reach_pct,2.1001548328978048e-4
agricultural_reach_pct,1.9516104842349892e-4
veg_height_buffer_m,1.3228983351885464e-4
summer_mean_air_temp_c,1.217305909925856e-4
developed_reach_pct,1.12026307854807e-4
summer_max_air_temp_c,1.0937372604099799e-4
veg_cover_buffer_pct,1.0705450726741561e-4
summer_mean_max_air_temp_c,7.843953143985505e-5
high_cascades_reach_pct,7.407458495099023e-5
road_density_reach,4.636164489194794e-5
wetlands_buffer_pct,3.4187888443428516e-5
burned_reach_pct,2.9705340860707584e-5
burned_buffer_pct,2.5538797500040122e-5
lakes_buffer_pct,9.460099674421241e-6
solar_exposure,7.761767871818648e-6
lakes_reach_pct,5.566020109634417e-6
high_cascades_buffer_pct,-4.6504277181308454e-7
agricultural_buffer_pct,-1.272882882359494e-5
developed_buffer_pct,-1.753141869284991e-5
road_density_buffer,-2.4031260940692855e-5
wetlands_reach_pct,-4.34666516621679e-5
